,0
TECTA,2
TBL1X,2
TBX3,2
TBXA2R,2
TBKBP1,2
ANTXR2,2
AOX1,2
ANKRD13D,2
TLR7,2
TICRR,2
CCDC30,2
CCDC33,2
MLLT10,2
TJP2,2
TLE2,2
THNSL1,2
THOC2,2
THSD7A,2
TGFBR2,2
ALS2CR11,2
AMER3,2
TNC,2
TNKS1BP1,2
TNN,2
MLLT4,2
MGA,2
MIA3,2
MIB2,2
LRRC25,2
LRFN5,2
CCNA1,2
MCF2L2,2
MCM2,2
MCM3AP,2
MARK2,2
MATN2,2
MAP3K3,2
MAP4K5,2
MAPK8IP3,2
CD207,2
MAP1A,2
CCDC57,2
CCDC63,2
MKNK2,2
LPO,2
LRBA,2
LINC00273,2
LINGO2,2
LMCD1,2
CDC25B,2
MAP1B,2
MADD,2
MAEL,2
MAGEA12,2
MAGEE1,2
MAGI2,2
LY75-CD302,2
LYST,2
LRRIQ1,2
CD6,2
TMEM87A,2
TMEM200C,2
TMEM131,2
TMEM132D,2
TMEM151B,2
TMEM164,2
ANK2,2
ANKRD11,2
TRPC7,2
ALG10B,2
ALK,2
TRIM32,2
LRP5,2
LRP8,2
LONP1,2
LPA,2
KRT9,2
KLHL34,2
KLK4,2
CDKN2A,2
CDCA7L,2
CDH18,2
CDH19,2
LGR4,2
LILRB5,2
LIN9,2
LCA5L,2
LAMA4,2
LAMC1,2
LAMP3,2
LRIT3,2
LRP1,2
TRIM42,2
TRERF1,2
TPP2,2
TNR,2
TNS3,2
TONSL,2
TOP2B,2
TOPBP1,2
AKAP9,2
AL450307.1,2
ALDH18A1,2
TTC18,2
KRTAP9-4,2
KNDC1,2
KNG1,2
KRT76,2
TTC30A,2
TTC30B,2
TRPM8,2
TRIP12,2
TRIP4,2
TRMT1,2
TRPA1,2
AIM1,2
UHRF1BP1,2
UNC13A,2
KIF21B,2
KIDINS220,2
KIF14,2
KIF18A,2
CDHR2,2
CDK12,2
KANK4,2
KANSL3,2
KIAA0368,2
KIAA0556,2
KIAA0922,2
KIAA0947,2
KIAA1033,2
KDM2B,2
KERA,2
KIAA0195,2
KIAA0196,2
CEP85L,2
CEP97,2
CEACAM4,2
KIR2DL4,2
KLHDC2,2
ITIH5,2
IVL,2
CHST12,2
CHST7,2
CETP,2
CFH,2
KCNMA1,2
KCTD19,2
KCNG2,2
KCNG4,2
KCNH6,2
KCNH8,2
KCNJ14,2
KCNJ16,2
KCNJ2,2
KANK1,2
KARS,2
CHD2,2
UNC13C,2
UNC5C,2
UBR3,2
UGT2B10,2
TTC6,2
TTLL6,2
TTLL8,2
USP6,2
USP9X,2
UTP20,2
UTRN,2
JMJD1C,2
ITGA8,2
ITGAL,2
CLGN,2
CLIC5,2
CHUK,2
CIB2,2
IRS1,2
IRS4,2
ISL1,2
ITGA4,2
IQGAP1,2
IQSEC2,2
ILDR2,2
INADL,2
INF2,2
INSRR,2
CILP,2
CIT,2
HRH4,2
HORMAD2,2
HKR1,2
CLMN,2
CKAP5,2
CKMT2,2
CLASP2,2
IL21R,2
IL26,2
IL31RA,2
IFT80,2
IGF2R,2
IGHM,2
IGSF8,2
ICOSLG,2
IFT122,2
HSPH1,2
HTR5A,2
HTT,2
USP24,2
USP26,2
USP34,2
USP37,2
USP38,2
URB1,2
AGO3,2
AHNAK,2
ADAMTS5,2
ADAMTS6,2
ADAMTS9,2
VAV2,2
HPS5,2
GRIK4,2
CLPB,2
CLTC,2
CLVS1,2
CLVS2,2
HIPK1,2
HIST1H1E,2
HIST1H3B,2
HEATR6,2
HECTD3,2
HEPH,2
HERC2,2
HERC3,2
CMYA5,2
CLIC6,2
HSPG2,2
GPR133,2
GPR149,2
GPR17,2
COL1A2,2
COL20A1,2
CNOT1,2
CNTN1,2
HCFC2,2
HDAC9,2
HABP4,2
GSN,2
GRIN2B,2
GRIN2C,2
GRIPAP1,2
GSE1,2
GRHL1,2
COL14A1,2
VEGFA,2
VIL1,2
VIPR1,2
VMAC,2
VN1R4,2
VPS13B,2
AEBP1,2
USP40,2
WNK3,2
ACTL9,2
ACTN4,2
ADAM15,2
ADAM28,2
COL16A1,2
GPR98,2
GDPD4,2
GFAP,2
CPAMD8,2
CPEB2,2
CPS1,2
COL23A1,2
COL4A4,2
GPC5,2
GPR111,2
GOLGA2,2
GOLGA5,2
GOLM1,2
GON4L,2
GP2,2
COLEC12,2
CNTN2,2
FTCD,2
FUNDC2,2
G2E3,2
GAA,2
GABPB2,2
FRYL,2
FOXC1,2
FOXE1,2
FOXP3,2
GK2,2
GFRA1,2
GFY,2
GGPS1,2
GCK,2
GCN1L1,2
GDF2,2
GAPDHS,2
GAS1,2
GATAD2A,2
GABRR1,2
ADAMTS16,2
WDR33,2
WDR44,2
WDR65,2
WDFY2,2
VPS54,2
ADAMTS3,2
ACCSL,2
ACTC1,2
YTHDC1,2
YTHDC2,2
YY2,2
FBXW7,2
FCAMR,2
FOXRED2,2
FRAS1,2
CR2,2
FNDC1,2
FNIP2,2
FOCAD,2
FOXB1,2
FLII,2
FLNA,2
FLRT2,2
FLT3,2
FMN1,2
CSF1R,2
CSF2RB,2
ZBTB10,2
XRN1,2
YAP1,2
WNT10A,2
WDTC1,2
WISP1,2
WIZ,2
WNK2,2
AC083862.1,2
ZFP36L1,2
ZFP90,2
FEM1A,2
FER1L6,2
FBXL20,2
FBXL6,2
FBXO3,2
FAT4,2
FATE1,2
FBN2,2
CSPP1,2
CSRP2BP,2
CTAG2,2
CTD-2203A3.1,2
FAM73B,2
FAM83C,2
FAM9B,2
FAN1,2
FANCM,2
CTNNA2,2
CSGALNACT2,2
FILIP1,2
ZAP70,2
ESPL1,2
ETAA1,2
ETFA,2
EPSTI1,2
ERBB3,2
CUL5,2
CUX2,2
FAM227A,2
FAM65C,2
FAM13A,2
FAM149A,2
FAM171B,2
F8,2
FAIM2,2
FAM120C,2
CXorf38,2
EPHA6,2
EPHB1,2
EPOR,2
EPPK1,2
ENOX1,2
EP300,2
EP400,2
EPB41L2,2
EPB41L3,2
CYHR1,2
CYP26A1,2
EVPL,2
EXOC7,2
EYA1,2
EYA4,2
ESF1,2
DCAF13,2
ELTD1,2
EIF2D,2
ELF4,2
EFR3B,2
EFTUD2,2
EGFR,2
ECT2L,2
EDEM3,2
EED,2
