,,0
KIAA0195,PDZD2,2
STARD9,UBR5,2
TCHH,TTC30B,2
POP1,SCN1A,2
NF1,UBR5,2
EYA1,HYDIN,2
GOLM1,PIK3CA,2
PREX2,TP53,2
AC083862.1,TTN,2
GRIN2B,TP53,2
SPESP1,TP53,2
MUC16,SMARCAL1,2
RNF14,USH2A,2
ARID4A,GATA3,2
ADCY2,SGPL1,2
MUC16,SRBD1,2
FMN1,PIK3CA,2
CCDC18,FLII,2
ARHGAP36,DSP,2
BOC,TACR3,2
BOC,TP53,2
NCOA3,NEB,2
ABCA6,HCFC1,2
SZT2,TP53,2
FLG,MXRA5,2
PDZD2,RNF14,2
CSMD3,MYO5A,2
BRCA2,CSMD3,2
ARID4A,RBL2,2
HECW2,MAP3K1,2
OVCH1,PKHD1,2
MUC16,TTN,2
OVCH1,PPP1R3A,2
DNAH11,SYNE2,2
CD207,TP53,2
HERC3,TP53,2
TP53,WDR65,2
CEP85L,TP53,2
PKD1L2,SYNE1,2
HECW2,SPTBN5,2
HCFC1,PIK3CA,2
ABCA6,ZRANB3,2
PKD1L2,TP53,2
CSMD3,NF1,2
TTN,ZNF844,2
MUC16,ZBTB10,2
DNM3,KIAA1033,2
RAD54B,UBR4,2
KIAA1033,PIK3CA,2
CDH23,CLASP2,2
DENND2A,TTN,2
FOCAD,SHANK2,2
SLC9A7,TTN,2
TP53,ZNF764,2
CNTN1,PIK3CA,2
CCDC57,TP53,2
BRCA2,GRID1,2
DNAH11,NPDC1,2
ASXL2,PDZD2,2
PTPRO,TP53,2
NF1,PDZD2,2
ISL1,PIK3CA,2
CSMD3,OR10G3,2
RGSL1,SGPL1,2
DSC1,TP53,2
NVL,TP53,2
KIAA0195,RNF14,2
ISL1,TP53,2
RANBP2,UBR5,2
DUSP18,HIVEP3,2
ARHGAP36,PIK3CA,2
NVL,TTLL8,2
GRIPAP1,PKD1L2,2
CDH23,RELN,2
PKDREJ,TP53,2
CDHR2,ZRANB3,2
CSMD3,PIK3CA,2
PDE3B,TP53,2
C12orf55,PEG3,2
KIAA1033,SLITRK4,2
TP53,TTC30B,2
DNM3,PIK3CA,2
ANKRD29,ARID4B,2
IQGAP1,TTN,2
C2orf83,USH2A,2
CXorf66,PHACTR3,2
BRCA2,NF1,2
DCAF12L1,TP53,2
EPHA6,PKHD1L1,2
GRID1,UBR5,2
NCOA3,TENM3,2
LYST,TP53,2
GRIPAP1,SYNE1,2
TTN,UNC13C,2
DACT2,TP53,2
FASN,PIK3CA,2
BCAM,KIF4B,2
GRIPAP1,TP53,2
CSMD3,PDZD2,2
FASN,SYNE2,2
LTBP3,TTN,2
IQGAP1,YTHDC1,2
TP53,ZNF469,2
NID1,TP53,2
C9orf96,TP53,2
FANCM,TP53,2
PHACTR3,TTN,2
KIAA1033,TP53,2
BRCA2,PIK3CA,2
HUWE1,TTN,2
CASS4,THNSL1,2
CSMD3,SYNE1,2
RP11-766F14.2,TP53,2
SAMD9L,USH2A,2
CASS4,TP53,2
MUC5B,TP53,2
HRG,JADE3,2
ABCA8,TP53,2
DNM3,HRG,2
ANKRD29,TP53,2
DNM3,SLITRK4,2
IFT122,MUC16,2
LCA5L,TP53,2
BAI3,C3,2
DNM3,JADE3,2
ANKRD29,UTRN,2
TP53,UNC80,2
PHEX,TP53,2
RIPK2,TP53,2
FUNDC2,PIK3CA,2
HRG,OR2M2,2
DLG3,GREB1L,2
CCDC18,KIAA0195,2
ARHGAP36,TP53,2
DNM3,OR2M2,2
CSF2RB,FSIP2,2
SUV39H1,TTN,2
ARHGAP36,TTN,2
TTN,UNC79,2
DCTN1,TP53,2
CAP2,SASH1,2
DNAH10,PIK3CA,2
ATXN1,PIK3CA,2
DHX34,SDK1,2
DHX34,SELE,2
SLITRK4,TP53,2
FARP1,PODN,2
PPP3CB,TP53,2
BCAM,TNKS1BP1,2
BCAM,TP53,2
FAM135B,TP53,2
ESF1,PIK3CA,2
HYDIN,STARD9,2
CRIM1,ZHX1,2
MYO18A,NF1,2
MYO18A,PIK3CA,2
ARHGAP21,NEFH,2
C12orf55,TP53,2
CDH4,NOVA2,2
PODN,TP53,2
ELF4,SOGA1,2
HRG,TP53,2
MYO18A,TP53,2
MYO18A,TTN,2
CSMD3,DIEXF,2
ATXN1,ZNF775,2
PIK3CA,SPATS2L,2
GRID1,NF1,2
PIK3CA,TAF2,2
SUV39H1,ZNFX1,2
PIK3CA,TOPBP1,2
PIK3CA,UBR4,2
GRID1,TTN,2
NFKBIL1,TP53,2
NF1,UHRF1BP1,2
NF1,RNF14,2
HUWE1,NHS,2
ARHGAP21,TTN,2
IGFN1,PIK3CA,2
GPR17,TP53,2
MMS19,TTN,2
CCDC129,TP53,2
HOMEZ,SCN4A,2
PIK3CA,UHRF1BP1,2
DYNC1H1,TP53,2
ASXL2,CHST12,2
PLEC,TTN,2
HUWE1,SH3YL1,2
DMD,PDE3B,2
MLLT10,TP53,2
TTN,ZNF541,2
MED1,MYO5A,2
FAIM2,NEB,2
FLII,KIAA0195,2
DGKD,TP53,2
HIVEP3,TTN,2
DIDO1,MUC16,2
FLNA,GATA3,2
SPATS2L,TP53,2
MUC16,SETD2,2
CSMD3,FAM124B,2
CSMD3,RNF14,2
BRCA2,TP53,2
DOCK11,HRG,2
BRCA2,TPR,2
DSC3,IGFN1,2
SETD2,TTN,2
ANKRD29,MYOC,2
IL21R,TP53,2
CDKN2A,TP53,2
FEM1A,GOLGB1,2
COL6A5,SOGA1,2
FAIM2,TP53,2
DMD,TTN,2
FAIM2,TTN,2
ANK3,FOXC1,2
TTN,ZNFX1,2
CSMD3,RPAP1,2
HOMEZ,TP53,2
TAF2,TP53,2
BRCA2,UBR5,2
GFAP,TP53,2
MUC16,UBR4,2
PRDM16,TP53,2
MIA3,SPATS2L,2
TP53,UHRF1BP1,2
CCDC18,MYO5A,2
TTN,UHRF1BP1,2
DOCK2,MADD,2
DNAH12,FEM1A,2
MUC16,USH2A,2
ABCA6,CDHR2,2
ASXL2,TTN,2
DNAH12,GOLGB1,2
TOPBP1,TP53,2
C5,CEP85L,2
DNAH10,HUWE1,2
C10orf126,PKHD1,2
CSMD3,HECW2,2
PPP1CB,TP53,2
CCDC108,TENM4,2
PTPRN2,TP53,2
RAD51AP2,TTN,2
CNTNAP4,PIK3CA,2
CCDC108,TP53,2
C1QBP,TP53,2
HORMAD2,TP53,2
DNAH12,PHACTR3,2
HELZ,MED12L,2
MYO5A,SPATS2L,2
RASGRF1,TP53,2
CCDC18,NF1,2
